data_inversa;horario;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;latitude;longitude
01/01/2023;01:40:00;GUARANTA DO NORTE;Reação tardia ou ineficiente do condutor;Tombamento;NA;Plena Noite;Crescente;Ignorado;Simples;"Curva;Declive";-9,70020602;-54,87588757
01/01/2023;10:40:00;ORTIGUEIRA;Velocidade Incompatível;Tombamento;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Curva;-23,985512;-51,083555
01/01/2023;14:55:00;MANHUACU;Acumulo de água sobre o pavimento;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;"Declive;Curva";-20,10007457;-42,17884091
01/01/2023;21:50:00;SERRINHA;Velocidade Incompatível;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Garoa/Chuvisco;Simples;Reta;-11,72514;-38,98642914
02/01/2023;10:20:00;GUARAPARI;Manobra de mudança de faixa;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Retorno Regulamentado;-20,5929953;-40,50133975
02/01/2023;09:00:00;MONTE ALEGRE DE MINAS;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Viaduto;Interseção de Vias;Curva";-18,86439215;-48,5887742
02/01/2023;12:15:00;SAO GONCALO DO RIO ABAIXO;Demais falhas mecânicas ou elétricas;Derramamento de carga;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;"Curva;Declive";-19,84250801;-43,31533375
02/01/2023;14:00:00;DIAMANTINO;Pista Escorregadia;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;-14,24293501;-56,12516399
02/01/2023;17:25:00;PAULO LOPES;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-27,98242299;-48,67898469
02/01/2023;15:10:00;JAGUARIBARA;Pista esburacada;Tombamento;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-5,66025238;-38,45395088
02/01/2023;22:30:00;GARUVA;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Reta;-26,044942;-48,859703
03/01/2023;03:30:00;SERRA BRANCA;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-7,498733;-36,681053
03/01/2023;06:45:00;SAO GONCALO DO ABAETE;Acumulo de óleo sobre o pavimento;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;"Curva;Declive";-18,0946169;-45,47580786
03/01/2023;06:10:00;PAULO LOPES;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;-28,0353863;-48,70884453
03/01/2023;07:35:00;ORTIGUEIRA;Carga excessiva e/ou mal acondicionada;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-24,02668686;-51,09740947
03/01/2023;09:30:00;FORMOSA;Chuva;Engavetamento;Com Vítimas Fatais;Pleno dia;Crescente;Chuva;Simples;"Curva;Declive";-15,263369;-47,16048
03/01/2023;10:15:00;CHAPECO;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;-27,06314223;-52,63234636
03/01/2023;06:00:00;SAO GONCALO DO ABAETE;Pista Escorregadia;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;"Declive;Curva";-18,0946169;-45,47580786
03/01/2023;12:35:00;ESTANCIA;Mal súbito do condutor;Tombamento;Com Vítimas Fatais;Pleno dia;Crescente;Nublado;Simples;"Curva;Declive";-11,28684952;-37,46531707
03/01/2023;07:00:00;AFRANIO;Curva acentuada;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;-8,62956368;-40,99411011
03/01/2023;11:45:00;CACHOEIRA DO SUL;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-30,249758;-53,053596
03/01/2023;13:00:00;TIANGUA;Chuva;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;Reta;-3,65826065;-40,92482891
03/01/2023;13:50:00;FEIRA DE SANTANA;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Fatais;Pleno dia;Decrescente;Chuva;Dupla;Reta;-12,315771;-38,877942
03/01/2023;16:10:00;OURO PRETO;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;-20,42625199;-43,86231799
03/01/2023;16:18:00;COMENDADOR GOMES;Velocidade Incompatível;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Aclive;-19,62918559;-48,89659299
03/01/2023;20:55:00;RANCHO QUEIMADO;Pista Escorregadia;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Garoa/Chuvisco;Simples;Curva;-27,685799;-48,974514
03/01/2023;09:00:00;SANTA CRUZ DE SALINAS;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;-16,00883576;-41,80162496
03/01/2023;17:00:00;POCONE;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;"Reta;Declive";-15,84932911;-56,80410299
03/01/2023;17:17:00;NOVA MUTUM;Obstrução na via;Saída de leito carroçável;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-13,69162599;-56,03929807
03/01/2023;23:15:00;CALDAS;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;"Aclive;Curva";-21,92377131;-46,37248278
04/01/2023;00:24:00;PONTE ALTA;Chuva;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Rotatória;-27,48199748;-50,37911479
03/01/2023;23:40:00;CURITIBANOS;Chuva;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Reta;-27,308832;-50,490402
04/01/2023;07:00:00;ITAPEMA;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Reta;-27,08139206;-48,60130993
04/01/2023;04:20:00;PARANAIBA;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Amanhecer;Crescente;Garoa/Chuvisco;Simples;"Reta;Declive";-19,55764424;-51,24892432
04/01/2023;09:00:00;COLATINA;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Simples;Curva;-19,60620039;-40,496789
04/01/2023;09:50:00;MARINGA;Pista Escorregadia;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;"Reta;Declive";-23,409788;-51,987453
04/01/2023;10:00:00;CUNHA PORA;Afundamento ou ondulação no pavimento;Derramamento de carga;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-26,90638046;-53,18738937
04/01/2023;10:30:00;MORRETES;Chuva;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;"Curva;Aclive";-25,59219;-48,888201
04/01/2023;12:30:00;AGUA PRETA;Demais falhas mecânicas ou elétricas;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-8,55039544;-35,44619699
04/01/2023;13:30:00;SAO JOSE;Frear bruscamente;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Reta;-27,53413705;-48,63003205
04/01/2023;13:40:00;SANTA RITA;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;-7,1803;-35,0485
04/01/2023;10:00:00;SANTA BRIGIDA;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-9,76196196;-38,2464172
04/01/2023;15:40:00;MUCURI;Demais falhas na via;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Declive";-18,099245;-39,893253
04/01/2023;13:45:00;BRUNOPOLIS;Velocidade Incompatível;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;-27,328163;-50,834103
04/01/2023;18:30:00;GUARAPUAVA;Manobra de mudança de faixa;Tombamento;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Aclive";-25,35821419;-51,35762662
04/01/2023;18:35:00;MUITOS CAPOES;Velocidade Incompatível;Tombamento;Sem Vítimas;Anoitecer;Crescente;Céu Claro;Simples;Curva;-28,333096;-51,291729
04/01/2023;21:20:00;EWBANK DA CAMARA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;Reta;-21,520757;-43,52314305
05/01/2023;01:30:00;JACIARA;Demais falhas mecânicas ou elétricas;Tombamento;Sem Vítimas;Plena Noite;Decrescente;Garoa/Chuvisco;Dupla;Reta;-15,81860731;-55,22097308
05/01/2023;07:00:00;PINDAMONHANGABA;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;-22,93930884;-45,37874708
05/01/2023;07:25:00;DUQUE DE CAXIAS;Pista Escorregadia;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Garoa/Chuvisco;Simples;"Declive;Curva;Viaduto";-22,78185499;-43,28571273
05/01/2023;06:10:00;ITATIAIUCU;Velocidade Incompatível;Engavetamento;Com Vítimas Feridas;Amanhecer;Crescente;Nublado;Dupla;Reta;-20,18182886;-44,37895835
05/01/2023;02:50:00;ITATIAIUCU;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Dupla;Curva;-20,1904316;-44,38268793
05/01/2023;09:40:00;GUARULHOS;Manobra de mudança de faixa;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Garoa/Chuvisco;Múltipla;"Interseção de Vias;Em Obras";-23,44695693;-46,45394103
05/01/2023;10:48:00;SOLEDADE;Ultrapassagem Indevida;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-28,774895;-52,533451
05/01/2023;09:30:00;CARMO DA CACHOEIRA;Chuva;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;"Reta;Declive";-21,39692643;-45,20681689
05/01/2023;11:40:00;SANTA RITA;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-7,07320663;-34,99569975
05/01/2023;12:48:00;ESTRELA DO NORTE;Acumulo de água sobre o pavimento;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;-13,822886;-49,041809
05/01/2023;10:15:00;RUROPOLIS;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-4,079496;-54,921111
05/01/2023;14:50:00;GOIANAPOLIS;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Fatais;Pleno dia;Crescente;Nublado;Dupla;Reta;-16,45;-49,0316
05/01/2023;13:25:00;EUNAPOLIS;Curva acentuada;Derramamento de carga;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;-16,469703;-39,574648
05/01/2023;15:15:00;RONDONOPOLIS;Chuva;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Reta;-16,52182818;-54,65882461
05/01/2023;15:40:00;PIRANHAS;Afundamento ou ondulação no pavimento;Tombamento;Sem Vítimas;Pleno dia;Crescente;Nublado;Simples;Reta;-16,32879413;-51,9431882
05/01/2023;19:56:00;BALSAS;Pista esburacada;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;"Reta;Ponte";-7,4468583;-46,00934744
05/01/2023;16:15:00;GURUPI;Velocidade Incompatível;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Reta;-11,78176489;-49,11301313
06/01/2023;04:20:00;GUARULHOS;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Amanhecer;Crescente;Chuva;Dupla;Curva;-23,46143954;-46,48885316
